Año,Provincias,Comunidad,Producción Total,Latitude,Longitude
2012,Sevilla,Andalucía,496357,37.38283,-5.97317
2013,Sevilla,Andalucía,682110,37.38283,-5.97317
2014,Sevilla,Andalucía,591152,37.38283,-5.97317
2015,Sevilla,Andalucía,614693,37.38283,-5.97317
2016,Sevilla,Andalucía,746803,37.38283,-5.97317
2017,Sevilla,Andalucía,778493,37.38283,-5.97317
2018,Sevilla,Andalucía,854239,37.38283,-5.97317
2019,Sevilla,Andalucía,781276,37.38283,-5.97317
2020,Sevilla,Andalucía,915732,37.38283,-5.97317
2021,Sevilla,Andalucía,971084,37.38283,-5.97317
2022,Sevilla,Andalucía,687421,37.38283,-5.97317
2002,LasPalmas,Canarias,6723,28.09973,-15.41343
2003,LasPalmas,Canarias,11013,28.09973,-15.41343
2004,LasPalmas,Canarias,11202,28.09973,-15.41343
2005,LasPalmas,Canarias,11178,28.09973,-15.41343
2006,LasPalmas,Canarias,10982,28.09973,-15.41343
2007,LasPalmas,Canarias,10847,28.09973,-15.41343
2008,LasPalmas,Canarias,9202,28.09973,-15.41343
2009,LasPalmas,Canarias,9193,28.09973,-15.41343
2010,LasPalmas,Canarias,9296,28.09973,-15.41343
2011,LasPalmas,Canarias,9236,28.09973,-15.41343
2012,LasPalmas,Canarias,9162,28.09973,-15.41343
2013,LasPalmas,Canarias,10320,28.09973,-15.41343
2014,LasPalmas,Canarias,10304,28.09973,-15.41343
2015,LasPalmas,Canarias,10304,28.09973,-15.41343
2016,LasPalmas,Canarias,10044,28.09973,-15.41343
2017,LasPalmas,Canarias,10022,28.09973,-15.41343
2018,LasPalmas,Canarias,9072,28.09973,-15.41343
2019,LasPalmas,Canarias,10168,28.09973,-15.41343
2020,LasPalmas,Canarias,9197,28.09973,-15.41343
2021,LasPalmas,Canarias,8329,28.09973,-15.41343
2022,LasPalmas,Canarias,8338,28.09973,-15.41343
2002,Tenerife,Canarias,7967,28.46824,-16.25462
2003,Tenerife,Canarias,7375,28.46824,-16.25462
2004,Tenerife,Canarias,8158,28.46824,-16.25462
2005,Tenerife,Canarias,8106,28.46824,-16.25462
2006,Tenerife,Canarias,7690,28.46824,-16.25462
2007,Tenerife,Canarias,7705,28.46824,-16.25462
2008,Tenerife,Canarias,6866,28.46824,-16.25462
2009,Tenerife,Canarias,6779,28.46824,-16.25462
2010,Tenerife,Canarias,5488,28.46824,-16.25462
2011,Tenerife,Canarias,4966,28.46824,-16.25462
2012,Tenerife,Canarias,4342,28.46824,-16.25462
2013,Tenerife,Canarias,5073,28.46824,-16.25462
2014,Tenerife,Canarias,5112,28.46824,-16.25462
2015,Tenerife,Canarias,5123,28.46824,-16.25462
2016,Tenerife,Canarias,4445,28.46824,-16.25462
2017,Tenerife,Canarias,3767,28.46824,-16.25462
2018,Tenerife,Canarias,2784,28.46824,-16.25462
2019,Tenerife,Canarias,3314,28.46824,-16.25462
2020,Tenerife,Canarias,3219,28.46824,-16.25462
2021,Tenerife,Canarias,2796,28.46824,-16.25462
2022,Tenerife,Canarias,3579,28.46824,-16.25462
