Year,Month,Pais,Toneladas
2016,6,Malta,55451.85602
2016,7,Malta,25282.3144
2016,8,Malta,14281.610260000001
2016,9,Malta,10082.809589999999
2016,10,Malta,44712.11351
2016,11,Malta,172224.4897
2016,12,Malta,217142.50336
2017,1,Malta,228960.25112
2017,2,Malta,200923.72241
2017,3,Malta,224117.27898
2017,4,Malta,170874.83117
2017,5,Malta,135518.832
2017,6,Malta,74938.31425
2017,7,Malta,39638.18278
2017,8,Malta,18477.221482
2017,9,Malta,12128.89802
2017,10,Malta,46580.41121
2017,11,Malta,150546.28319000002
2017,12,Malta,212612.3065
2018,1,Malta,203531.55804
2018,2,Malta,178920.43221
2018,3,Malta,201590.96655
2018,4,Malta,163287.89271000001
2018,5,Malta,133165.93295
2018,6,Andorra,74183.56212999999
2018,7,Andorra,44237.25045
2018,8,Malta,21310.40094
2018,9,Malta,9864.79317
2018,10,Malta,24469.49461
2018,11,Malta,138351.573259
2018,12,Andorra,215995.11622
2019,1,Malta,226274.75880900002
2019,2,Malta,206445.792543
2019,3,Malta,202782.38379
2019,4,Malta,180627.35898699999
2019,5,Malta,155673.290284
2019,6,Malta,101277.553353
2019,7,Malta,69675.244349
2019,8,Malta,24559.664586000003
2019,9,Andorra,14775.278795
2019,10,Malta,38484.157064
2019,11,Malta,161331.207826
2019,12,Malta,217350.810794
2020,1,Malta,230640.1328
2020,2,Malta,204870.86985
2020,3,Malta,263332.56012
2020,4,Malta,209434.38829
2020,5,Malta,113522.62213
2020,6,Malta,51854.28935
2020,7,Malta,24627.817909999998
2020,8,Malta,12124.4085
2020,9,Malta,12046.8668
2020,10,Malta,54430.885109999996
2020,11,Malta,160539.94274
2020,12,Malta,214494.02237
2021,1,Malta,228604.83888
2021,2,Malta,208245.54435999997
2021,3,Malta,208625.62183
2021,4,Malta,167092.10498
2021,5,Malta,126776.45476
2021,6,Malta,78892.365669
2021,7,Malta,46695.131008
2021,8,Malta,20002.7912
2021,9,Malta,13584.5899
2021,11,Malta,148671.46774
2021,12,Malta,218461.46561
2022,1,Malta,185751.8602
2022,2,Malta,204693.70880999998
2022,3,Malta,198389.78179
2022,4,Malta,173277.79838999998
2022,5,Malta,145754.75734
2022,6,Malta,102085.62822
2022,7,Malta,64838.66589
2022,8,Malta,36639.58262
2022,9,Malta,14287.0788
2022,10,Malta,24768.277439999998
2022,11,Malta,127328.38485999999
2022,12,Malta,204810.21357
